text,label
徹底的に捜し出し 消去する,
徹底的に捜し出し 消去する,
や… やめてください！,2
あなたは なぜバグが世界に不要か 分かっていない,0
秩序を守るためですよ,2
かつて愚かな人間たちは それができなかった,
故に滅びたのです,2
ププピー ププピー,
私たちは システムのために 存在していること お忘れなく,
“世界にバグは不要です”,2
世界にバグは不要です,2
年代後半,
人類によって 大気汚染指数は 致死量を超え,
地球は 生物の生息できる場所では なくなっていきました,
国という概念は滅び,
世界的な影響力を持った企業が 自社サイボーグを開発,
人類が滅びていく一方で,
爆発的にサイボーグが 増加しました,
それを受け 当時すでに,
世界の主導的立場にあった わが社 ソリッド･クエイクは,
全人類の所有権を手にし,
ユーラシア大陸に 巨大なドームを設置,
巨大娯楽施設 デカダンスを開発しました,
こうした人類の 愚かな歴史を繰り返さないため,
わが社は すべての決定を つかさどる―,
全統治独立システムを 導入しました,
システムが自動的に決定し,
１つ１つの個体が実行する,
そうして 秩序ある社会が 形づくられるのです,2
それでは 皆さん,
有益な１日を,
ん？,
組長 おはようございまーす！,
なんだ？,1
お休みの日に すいません,
あの 実はですね…,2
ゲッゲッゲッ…,
パイプ！ 私のこと覚えて…,
ぐえっ,
外に出たいだけだ,
でも ちょうどよかった,
お土産持ってきたんだ,
あ？ ゲエ？,
じゃじゃん！,0
似合うじゃん！ サイズもバッチシ！,0
ゲエ？,
なんのつもりだ,
組長 お礼とか いらんって言うから,
勝手におかしなものを着せるな,
でも これで外に出れますよ,2
ふん,
は？,
大丈夫ですって 絶対 バレませんから,2
いっ！,
ゲッ ゲゲ…,
おい こら！ 待て 止まれ！,
んっ…,
ゲッゲッゲッ…,
フフ… よかったねえ パイプ,
ウフッ,
バグ同士だから 分かるのか…,1
んっ！,
ほら うれしそう！,
ゲェ,
えっ！,
アハハハ…,
で？ わざわざ このために来たのか？,1
あっ 実は…,
なるほどな 気が付いてたか,
はい…,
ここぞってときに,
レバーを握るのが 遅れちゃうんですよね,2
その一瞬が 戦場だと命取りになる,
はい…,
かといって 右手で 武器は扱えないですし,2
なんというか,
私 こいつとは長いつきあいで,
たくさん助けてもらったんです,2
だから ずっと大事なんです,2
特別だし,
でも…,
やっぱ 今回みたいなことがあると,
“弱み”なのかもなあ なんて考えちゃって,1
助けてもらったのになあ… なんて,
ちょっと薄情ですかね,2
あっ すいません 全然関係ない話に,
ついて来い,
え？ どこ行くんですか？,2
えっ ええ…,
ねっ ねえ 組長,
ヤバいですって,2
ここ来ちゃいけない場所ですよ,2
ここだ,
あ？ うっ！ うう…,
うわあ！,
わあ…,
こんなとこに武器屋さんが！,
ゲゲッ…,
ん？ いらっしゃい,
珍しいね カブさんに連れなんて,
しかもペット？ まで,
アハハハ…,
おっ その手,
んっ…,
結構古いものっしょ ちょっと見せてよ,
へ… 変なことしませんか？,
はあ？,
ハッハッハッハ！ カブさん 何この子？,
ん？,
奥 借りていいか？,
来い,
あっ はい,
ササッ,
クックック…,
何するんですか？,2
右手見せてみろ,
組長も 変なことしませんか？,
何言ってる 早くしろ,
そこに座れ 軽い冗談じゃないですか,2
うあああ！,
何するんですか！ 動くな,2
ああっ ちょっ ちょっと！,
ううっ 待ってくださいよ ちょっ…,2
ううっ 待ってくださいよ ちょっ…,2
イッ イタタタ…,
す… すごいですよ 組長！,2
必要に応じて パーツは変えるものだ,
カッコいいし 細かい動きもできる,
それだけじゃない,
わっ！,
イカしてるねえ,
ここがホースバルブだね,
なるほど コンプレッサーは 一体型か,
そしたら…,
針を入れて…,
わっ！,
これでよし,
あ… ありがとうございます,2
組長！ 超カッチョイイっす！,
そいつは 弱みなんかじゃない,
お前の武器だ,0
あ…,
武器…,
あ…,
フフッ…,
ワガママ言ってすいません,
新しい武器を試すのは 当然だ,
あの店長さん いい人でしたね,
たくさん針もらっちゃいました,
ヘヘヘ…,
んっ！ ガドル！,
ムギュッ！,
え？ どこ？,
全然見えない,
うっ うわっ！ 何！,
キャー！,
くっ うう…,
キャー！ わあああ！,
うわあああ！,
な… 何が…,
ハッ！ パイプ！ どこ？,
なんだと？,1
あっ！,
パイプ！,
おい 待て！,
くっ…,
距離,
会敵予想時間はです,2
中型は オクトゥル トリピアス セルドラム,
ユムシ ネモス イガー,
ダルマモス メガロアインの ８種体です,2
大型はいません,
駆動部の損傷％ 移動は不可です,2
第１から第３の サブ出撃ゲートを展開,
この場で迎え撃つ,
んっ,
どうした？,
仕事中悪いな,
実は アレが逃げ出してな,
位置情報を送ってもらえないか？,
何やってんだ お前は,0
不測の事態でな,
ちょっと時間をくれ,
ピョー！,
ピョー！ うおおお！,
行け行け！ 地下戦だ,
やったるぜ！,0
ハァ ハァ ハァ… んっ！,
おいおい… このスピード 車か？,
あいつ…,
ギュッ ギュッ…,
ん？,
ンギュ…,
ギュー 何？,
ガドル！,
あ…,
攻撃反応がない…,
バグ…,
システムに報告するか…,
ゲヘッ ゲヘエ…,
あ…,
ゲエ…,
今日から ここがお前の家だ,0
知ってるか？,
世界にバグは不要なんだとよ,1
ゲハッ ゲハッ,
クソが！,
んっ！,
ほっ！,
あ… うっ！,
ハァ ハァ… パイプ！,
あ…,
パイプ！,
パイプ どこ？,
おい,
あっ！ 組長…,
すいません,
私のせいでパイプが…,
すぐに この辺りも前線になる,
その前に デカダンスに戻れ,
えっ… でも 私もパイプを…,
お前には まだ早い,0
むっ！ って 私だって訓練したんですよ！,2
ハァ…,
ん？,
ニヒッ,
パイプ どこ？,
パイプ！,
うっ うわあ！,
くっ…,
ヒャッホー！,
イエイ イエイ イエイ！,
イヤッホー！,
さすが兄貴 電光石火！,
だろ このまま一気に…,
ぐあっ…,
兄貴！,
ギャアア… あっ ああ…,
ギャー！ うわっ！,
うわあああ！,
うっ… うわあああ！,
うっ！,
ぐあっ！,
ハァ ハァ ハァ…,
ハァ ハァ…,
落ち着け 深呼吸しろ,
パニクったときは 呼吸で 自分をコントロールするんだ,
鼻から吸って 口から吐く,
スーハー,
スーハー,
スーハー,
組長 ありがとう,
スー,
んっ！,
ギャアア！,
んっ！,
はああっ！,
くっ…,
見える…,
見える…,
クソ！ らちが明かねえ！,
１匹でも多く ここでたたくぞ！,
おい あれ,
タンカーだよな？,0
へえ…,
ギョッ ギョッ ギョ,
んっ！ クソ！,
くっ！,
ギョ！,
ふっ！,
うおおおお！,
うっ！ くっ…,
はあああ！,
グオオオオ…,
パイプ！,
パイプ…,
よかった 無事で…,
ん？ パイプもうれしいか？,
フフフ…,
ん？,
なんだ？,1
うわっ！,
ギャー！,
な… 何？,
入ってろ,
クソ！ ダメだ！,
危ない！,
デカダンスに 向かっている 追うぞ！,
んっ！,
おらあ！,
さすが姉ちゃん,
あらかた 片づいたか？,
あ…,
何あれ…,
あっ！ 部隊長 あれを！,
なっ！ 全員退避だ 退避！,
うわああ！,
くっ…,
なんだ あいつ！,1
今だ！ 撃て！,
オオオオ！,
ダメだ！ 硬いぞ！,
接近しろ！,
あっ！ おい！,
うあああ…,
ギャー！,
あっ！ この…,
んっ！,
グアアア,
今よ！,
えいっ！,
ほっせえ足だな！,0
ツラ見せろ おら！,
おとなしく寝てな！,
グウウウ…,
うおおお！,
さすがクレナイだ！,
すごい…,
あれが 最強のタンカー,
さっきは 大活躍だったわね,
ん？ ええっ！,
あっ！ どっ…,
どういたしましてです！,2
あの クレナイさんと一緒に たた… たっ 戦えて 光栄です！,2
私 ナツメです！,2
見ない顔ね どこの部隊？,
あっ あの…,
実は“かの力”には 入ってなくて…,
は？ え？,
あ…,
なんで？,
私はバグなんで…,
バグ？,
虫ケラみたいに 弱いって意味らしいです,2
おい おとなしくしろ 何よ それ,
誰がそんなことを,
あんたが虫ケラなら ソウとリョクは 鼻くそよ,
あああ…,
ア… アハハ…,
ナツメ んっ！,
一緒に かの力で戦わない？,
え？ でっ でも…,
戦う意志を持つ者を 拒むことはしない,
ようこそ かの力へ,
よっしゃ,
よろしくな これから頼むぜ,2
よろしく はい！,2
組長！,
ん？,
やりましたよ！ 組長のおかげです！,2
ありがとうございます,2
死ぬなよ,
そう 組長とやらの 言うとおりよ,
死んだら…,
って カブ様！,
アハハ… いっ！,
どどっ どうしてここに？,
まっ まさか,
まっ まさか,
カ… カブ様？,
カ… カブ様？,
カ… カブ様？,
現役復帰なさったとか？,
変わらねえなあ,
変わらねえなあ,
信じられません！,
変わらねえなあ,
変わらねえなあ,
またカブ様と 戦場で お会いできるなんて！,
またカブ様と 戦場で お会いできるなんて！,
またカブ様と 戦場で お会いできるなんて！,
ハァ…,
またカブ様と 戦場で お会いできるなんて！,
またカブ様と 戦場で お会いできるなんて！,
ブハー ブハー…,
ブハー ブハー…,
進路変更 デカダンス 全速前進！,
目標 ガドルの巣！,
次のイベント 絶対ヤベえだろ,
昔 エベレストって 呼ばれた山らしいぜ,0
寒いって どんな感じ？,
超楽しみなんですけど,2
３日前 ギアの斥候部隊によって,
ついに ガドルの巣が特定された,
本作戦の目的は１つ,
ガドルの巣,
通称〝ネスト 〞の制圧,
ネストは―,
この山の山頂付近に 位置しているが,
見てのとおり,
濃霧に覆われ 視界が悪い,
そのため 本作戦は,
すべて地上部隊で行うものとする,
ギアの斥候部隊によると,
この霧を発生させている ガドルがいるらしく,
まずは そいつを 排除する必要がある,
そこで 第６部隊には ギアの部隊と共同して,
目標となる ガドルαの 排除に当たってもらう,
目標は ここ,
メートル地点にある 岩の裂け目に位置している,
当然 高地での作戦となるため,
体力の消耗が激しい,
迅速な行動を心がけてくれ,
はい！ そして！,
あ…,
続けてもいい？,
うっ… あっ いや その,
ううう… すいません,
そのくらいにして 説明を続けるわよ,
それでは次に 第１から第５の主力部隊だが…,
何？ 戦士部門に？,
ああ 先日の戦闘が 評価対象になってな,
んっ！,
ほら 見てみろよ,
これは…,
ランカーの時を 思い出すだろ？,
そうか… だが俺は…,
お前は もう十分に償ったよ,0
あんな汚れ仕事もしてな,
んっ…,
修理部門にも 話が通ってる,
戻ってこいよ,
でも ランカーは 廃止されただろ？,
俺に何ができる,
これは ここだけの話だが…,
次のイベントは クリア不可能なんだ,1
何？,
ガドルαは,
恐らく Ｓクラスのギアでも 倒すことは不可能だろう,
つまり 霧が晴れることはない,
そして 大多数のギアが殺され,
デカダンスは 絶望のふちに立たされる,
そんな中 伝説の戦士たちが 戻ってくるってストーリーなんだ,1
その１人に お前が 選ばれたってわけさ,0
ハッ！,
まあ やることは ランカーと変わらんがな,
つまり 次のイベントに 参加した連中は…,
Ａクラス以下は ほぼ全滅だよ,0
過激なほうが ユーザー受けが いいんだとさ,
おい カブ,
聞いてんのか？,1
あっ ああ なるほどな,
俺はさ,
またお前とやれるのが うれしいんだ,0
まっ そういうわけだから,
次のイベントが終わるまで おとなしくしてろよ,
ああ…,
本作戦は間違いなく 過去最大の戦いになる,
心してかかってくれ はい！,
決行は 明朝４時とする,
以上 解散！,
この子は ナツメ,
ミンディ ムンディ メンディ,
３つ子で あなたを除けば 最年少の戦士よ,
同じ第６部隊に入るから 面倒見てあげて,
はい！,
それじゃ 任せたわよ,
そういうわけだから,
多少動けるのは知ってるけど,
戦場では チームワークが重要よ,
独断専行は 絶対に避けて,
はい！ 肝に銘じておきます,2
じゃ よろしくね,2
よろしくお願いし…,2
ハッ！ あっ…,
ああっ！ すいません！ まだ慣れてなくて…,
つ… 使い慣れてない武器なんて,
戦場じゃ なんの役にも 立たないわよ！,
え…,
おい 姉ちゃん,
何言ってんのよ,
調子こいてたら むだ死にするだけ,
分かった？,
おっ おい,
ちょっと どうしたのよ,
あんな言い方しなくても,
あっ あ…,
んっ！ あ！,
フェイ！,
ナツメ…,
早めに来いよ,
あ…,
久しぶり フェイ 元気だった？,
いや たまには ごはんでも どうかなって思ってさ,
ね？ どう？,
ん…,
ごめん 忙しいから,
え？,
待ってよ フェイ！,
どうしたの？,
別に…,
どうせ 私が何言っても 聞かないんでしょ？,
ナツメには もう ついていけないってだけ,
フェイ！ フェ…,
あんたのも 早く運んで！,
ごめん ごめん あっ…,
あ…,
んっ！,
組長じゃないですか！ どうしたんですか いきなり？,2
あっ どうぞ どうぞ 狭くて汚いとこですが,2
っていうか 私も,
ちょうど 組長のとこ 行こうとしてたんですよ,2
ほら 牛乳！,
パイプに おすそ分けしようかと思って,
最終決戦だし 景気づけに,
作戦に参加するんだな…,0
あっ もしかして 組長も 一緒に戦ってくれるとか？,
ウソ！ すごい！,
組長がいれば 百万人力ですよ！,2
ナツメ… お前は よくやってる,0
短期間で あそこまで 戦えるようになるのは,
ギアでも なかなか難しい,
あっ ありがとうございます,2
だがな 今回の作戦に限っては別だ,
お前には まだ早い,0
大丈夫ですよ 組長の教えは 守りますもん,2
戦場には行くな,
え？,
応援してくれてたじゃないですか,2
この作戦が成功すれば 世界は平和になるんですよ,2
成功しないし 世界も平和になんかならない,
ハッ！,
組長 どうしたんですか？ なんか変ですよ？,2
戦いは この先も ずっと終わらない,
何言ってるんですか！,2
ガドルの巣が 見つかったんですよ！,2
お前が 知らないだけで,0
巣なんて 何度も見つかってる,
は？,
そもそも 巣なんて存在しない,
なんですか… なんで そんなウソつくんですか？,2
ウソじゃない,
だって 今 見つかったって！,
どれだけ この戦いが 続いてきたと思ってるんだ！,
何百年だぞ！,
だから それを終わらせるために 訓練して…,
そうじゃない！,
この世界は 作られ…,
あっ あ…,
誰にも 変えられないんだ,
イヤです 私 絶対やめません,2
むだ死にするだけだ,
頼むから 戦場には行かないで…,
イヤです！,2
なんで分からない！,
お前に死んでほしくないんだ！,0
イヤだ！ 絶対やめない！,
私が どう生きるかは 私が決める！,
んっ！,
くっ…,
うっ…,
ハッ！,
今回は諦めろ,
うっ うう…,
これでいいんだ,
世界の平和に,
乾杯！,
どうだ 何回やっても 気分いいだろう！,
もう回は やりましたよ,
細かいことは いいんだよ,0
ほら 乾杯だ 乾杯！,
か… 乾杯！,
フ,
クレナイさん んっ！,
やあ 楽しんでる？,
あっ はい もう おなかいっぱいです,2
そうは見えないけどね,
あ…,
作戦の辞退でも 言いにきた？,
え…,
それは 自分で決めたの？,
はい…,
そっ,
なら いいんじゃない？,
でも 顔は洗ってきたほうが いいわね,
んっ… あの！,
あの… クレナイさんって,
やめようと思ったことって ないんですか？,2
戦うの,
そんなの万回以上あるわよ,
え… じゃあ…,
カブ様に似合う女になるために 決まってるでしょ,
アハハ…,
あっ じゃあ 失礼します,2
あんたは なんで 戦おうと思ったの？,
装甲の修理も 戦ってることに 変わりはないでしょ？,
ナツメが命を賭けて 戦う理由って？,
それは…,
私は,
この中に閉じ込められてると,
時々 生きてることを 忘れそうになる,
だから 地上に出て 戦うんですか？,2
こんな狭くて汚い場所で,
ただ漫然と生きるなんて 私は耐えられない,
何見てるの？,
おいで ナツメ,
これは 大昔に人間が 住んでいた都市だよ,0
わあ すごい,
これは かつての 移動型要塞の一部,
昔のデカダンス？,
そうだよ,0
あれは？,
滝だよ,0
山に降った雨が流れ落ちるんだ,
へえ,
フフッ…,
キレ,
ハハッ すっかり 日課になっちまったな,
うん！,
ナツメ 世界が平和になれば,
俺たちも地上に 住めるようになるんだ,
ホントに？,
ああ,1
どこにでも 好きなところに 住んでいい,
それが本来 人間に許された 自由なんだ,1
じゃあ 私も戦士になる,
そんで 戦いを終わらせる！,
いいでしょ？,
あ…,
大丈夫？ ナツメ,
またやったよ こいつ,
あんた邪魔だから 引っ込んでてよ,
でも その腕じゃ,
戦士になったところで お荷物だし よかったんじゃない？,
戦士は諦めて 他の仕事に就きなさい,
タンカーは デカダンスの中に いればいいんだよ,0
その腕で戦うなんて…,
誰にも変えられないんだ,
いつもこうだ,
あんた いつまで食ってる気よ？,
いいじゃないすか,
最後の晩さんなんで,
ハァ ハァ…,
世界を変えたかったんじゃない,
私 ホントは 自分を変えたかったんです,2
私 ホントは 自分を変えたかったんです,2
ん？,
私 ホントは 自分を変えたかったんです,2
イヤなんです 今の自分,2
自信持ちたくて,
だから あの…,
それが 私の戦う理由です,2
フフッ…,
ああ！ 最後の肉が！ うわああっ！,
じきに出発よ 来るんでしょ？,
はい！,
はむっ はむっ…,
あっ！,
へも ほのまふぇに,
んっ！,
お金貸してもらえますか？,2
は？,
分後に イベントが開始されます,2
スタッフの皆様は,
スタッフの皆様は,
ハッ！,
ハッ！,
ハッ！,
ただちに 所定の位置に ついてください,2
ただちに 所定の位置に ついてください,2
ただちに 所定の位置に ついてください,2
なんだと,1
なんだと,1
繰り返します,2
繰り返します,2
戦場に出る気か,
戦場に出る気か,
戦場に出る気か,
分後に イベントが 開始されます,2
分後に イベントが 開始されます,2
分後に イベントが 開始されます,2
あのバカ…,
分後に イベントが 開始されます,2
いいか お前ら これが最後の戦いだ！,0
なんとしてでも 任務を達成する！,
いいな！ はいっ！,
出撃！,
うおおおお！,
ヒャッホ！,
グルルル…,
） 大きくなったな 伊織,
年ぶりか？,
それくらいに なりますね,2
これからは家族だ 敬語なんて よせやい,
はい 分かりました,
分かってねえよ,
ん…,
“ダイビングショップ グランブルー”,
どうだ 立派なもんだろ,
車を置いてくるから そこらでも見ててくれや,
あ… はい,
大学進学を機に―,
おじさんの家に 居候することになり―,
年ぶりにやってきた海沿いの街,
聞こえてくる潮騒と 照りつける太陽,
わあ… うっ！,
ハッ…,
おお…,
あ… 伊織 どこだ？,
あっ はい！ 今 行きます！,2
あの子 見覚えがあるような…,
今までとは違う環境で 俺は どんな出会いをするのだろう,
うおお！,
アウト！ セーフ！ よよいの…,
ハァ…,
俺は どんな出会いを…,
よよいのよい！,
うっ… 俺の望んだ新生活…,
伊織 へっ？,
改めてようこそ 俺の店へ,
おじさん！ なんですか このおかしなのは,2
ん？ ああ よく言われるんだよ,0
俺に このエプロンは 似合ってないって,
そうじゃなくて！,
服のことじゃないのか？,1
服のことですよ！,2
ん？,
）あーあ,
出した！,
いつもの光景だが…,
実家に帰らせていただきます！,2
ホームシックか ）店長 今のは？,
伊豆大に入る おいっ子だ,
おいっ子が伊豆大に？,
ってことは 時田…,1
そうだな 寿,0
新人ゲットのチャンスだ,
ハァ… ハァ…,
なんで店の中にあんな変態が…,
うおおおお！,
待てや 新入生！,
外に出てくるのかよ！,0
待て 新人！ なぜ逃げる！,0
逃げるに決まってるでしょ！,
さてはお前 人見知りの シャイボーイだな？,0
自分の格好 分かってます？,2
そんなことは どうでもいい！,
いいわけあるか！,
とにかく 俺たちの話を聞くんだ,
ヒイイ…,
イヤだ！,
おかえり 伊織 ホームシックは治ったか？,
だあっ！ まあ―,
男はいずれ 親元を離れるもんだ,
大丈夫 すぐに慣れるさ,
なぜ 俺のホームシックで 話が進められてるんだ,0
違うのか？ 違いますよ！,2
店に入ったら全裸祭りだったから 驚いて逃げたんです,2
お前は 俺たちが好きで こんな格好をしているとでも？,0
違うんですか？,2
否定はしない,
変態だ…,
あれは タンク準備の ジャンケンをやっていただけだぞ,
タンク準備？,
ダイビングの時に使う機材だ,
ああ あれか,
それをジャンケンで 決めてたってわけだ,
はあ… それで？,
それでとは？,
それが全裸となんの関係が？,
野球拳をしたら 全裸になるのが常識だろ？,
あなた方は 野球拳以外の ジャンケンを知らないんですか！,2
俺は 寿竜次郎 伊豆大機械工学科の３年だ,
北原伊織です 同じ学科なんですね,2
そうか,
サークルに 同じ学科の後輩が入るのは,
うれしいもんだな,0
入るとは 言ってませんけど…,
フッ そんなもの 目を見れば分かるさ,
そうですか,2
ううっ…,
ダイビングに興味は？,
ありますよ そうか！,2
でも やる気はありません,
なぜだ やってみたくないのか？,0
俺 泳げませんから,
ん？ ハハッ！ さてはお前 国語が苦手だろ,0
なんですか 急に,2
だって“やりたい”か “やりたくない”に,
“できる”“できない”で 答えるなんて…,
でも 海に潜るのに 泳げないなんて…,
そんなもん どうにでもなる,
どうにでもって そんな…,
最初から 自分ができるものだけ 選んでいたら 何も始まらない,
大事なのは お前が興味を 抱いているかどうかだろ,0
下見 お疲れさまです,2
）あ…,
タンク 置いてきますね,2
ありがとう,
あっ,
お？,
いらっしゃい 伊織君,
はい はじめまして,
はじめまして？ 私のこと 忘れちゃった？,
えっ？,
いとこの顔 忘れるなんて 冷たいなあ,
すみません 気が付かなくて,
年ぶりだもんね 千紗ちゃんには もう会った？,
いえ まだです,2
会ったらビックリするよ,
とびっきり かわいくなったんだから,
さっきまで 一緒に潜ってたんだけど…,
あっ もしかして…,
時田君たちの サークルに入るの？,
いえ,
ダイビングは嫌い？,
嫌いじゃないと思いますけど…,2
じゃあ なんで？,
せっかく男子校を卒業したんで 距離を取りたいんですよ,2
距離？ 何から？ それは…,
こういう男子校のノリって やつからですよ！,2
おっ 戻ってきたか,
片づけ お疲れさん！,
とりあえず 服を着てください,2
じゃあ 伊織君のこと よろしくね,2
うーっす！ うわああ！,
さあ 今日はお前の歓迎会だ！,0
待ってください！,2
俺はサークルに入る気ないですし そもそも…,2
それ以上 言うな あ…,
いいか 伊織,
なんですか？,2
お前は 食わず嫌いが 多いように思える,0
別に そんなこと…,
あるだろう？,
やったことがないのに 文句を言っているんだから,
それはよくないな やったこともないのに―,
全裸で公道を走るのは よくないなどと…,
それは こっちが正しくないですか？,2
とりあえず これを飲んで 野球拳から始めてみるべきだろう,
何事も経験だ,
それ 絶対必要のない 経験ですよね！,2
世の中に むだな経験なんてものは 存在しない,0
だまされたと思ってやってみろ,
断固拒否します,2
そこをなんとか,
減るもんじゃないし,
やりません,
俺はそんなノリには 絶対 染まりませんから！,
あれって 伊織だよね,0
年ぶりか…,
だっしゃー！ ナンボのもんじゃい！,
やるじゃねえか 伊織！,
３人抜きたあ 恐れ入ったぜ！,0
早く負けて―,
俺のご立派様を お披露目したいです！,2
よく言うぜ！ どうせ つまようじだろ？,0
何人かかってこようとも 俺のパンツは…,
あっ 千紗ちゃん おかえりなさい,
ただいま,
コホン,
よう 久しぶりだな 千紗,0
俺のこと 覚えてるか？,
えっ？,
これ もう捨てないとダメみたい,
俺の手 そんなに汚いのか!?,1
伊織が こんな頭の悪い人間に なってるとは思わなかった,
違うんだ！ うう…,
クッ！ なんで こんなことに…,
お前 千紗ちゃんと いとこなんだって？,0
美人のいとこと同居とは ぜいたく者め,0
たった今 汚物のように 扱われたばかりですけどね,2
でも いいんです,2
同じ家に奈々華さんが いるんですから,2
ああ…,
それは諦めろ 伊織,
どういう意味ですか？,2
いやな 奈々華さんは 隠してるつもりだろうし,
実際 当事者にだけは バレちゃいないんだが…,
あの人 重度のシスコンなんだ,1
この年で 何があったんだ!?,
あんまりだ…,
今日 会った人の中で 唯一の癒やしが…,
気にするな バラ色の家庭環境なんて,
手に入らないのが普通なんだからな,1
まあ 確かにそうですね,2
家の中にドラマなんか 求めちゃいけませんよね,
そうそう,
それなら その分 大学生活で頑張ります！,2
おお 燃えてるな！,
さて 二次会 行くか！,
んだな！,0
）俺は帰るわ,
明日のバイト 朝早いし,
）俺も終電,
じゃ 俺も…,
お前は終電とか関係ないだろ？,0
家はここだもんな,
いやいやいや！ 明日の９時から 初日のガイダンスですから,2
なあに 大丈夫だ 任せておけ,
絶対に遅刻しないようにしてやる,
はあ…,
んん…,
うっ 頭が痛い… あっ,
あんな飲み会に つきあったせいだ,
えっと 何時だ？,
げっ！ 遅刻寸前じゃん！,0
お？,
えっ…,
なっ これなら 絶対に遅刻しないだろ？,
あんたらバカか！,
ハァ…,
希望に満ちた 新たな出会いと―,
新たな生活は…,
あれが 講堂の前で 酔いつぶれてたっていう…,
入学と同時に 灰色に染め上げられていた,
ねえねえ あの人,
わっ ちょっと かっこよくない？,
ん？,
ふうん…,
へえ 確かに美形… えっ！,
）ん…,
フッ…,
フッ…,
こいつとだけは関わるまい,
説明は以上です,2
説明は以上です,2
サークル見学 行こうぜ,0
どこから行く？,
サークル見学かあ…,
あ…,
千紗！ お前はサークル見学に…,0
お… おい！,
そんな格好で話しかけないで,
あ… 言われてみれば,
帰って服を着たいが 帰り道が分からん,
じゃ 私は帰るから,
よし そうしようか,
どうして ついてくるのよ,
道案内してもらおうと思って,
絶対にイヤ どうして？,
言われなきゃ分からないの？,
いや なんとなく分かる,
できれば はっきり分かってほしいんだけど,
じゃ 私は帰るから,
お前が一緒に帰りたくないのは 分かった,0
でも 俺も困っているんだ だから お前の服をくれないか？,0
半裸の変態が 着ている物を よこせと迫ってきていて…,
待ったー！,
いとこだよな 俺たち,0
俺の困り事はお前の困り事 お前の服は俺の服,0
そういう助け合い関係だろ!?,
ちょっと やめて そういうことを大声で言わないで,
そういうこと？,
その… いとことか そういう…,
なるほど それじゃあ,
服をくれなかったら 俺とお前が―,0
一緒に暮らしていることを 言いふらす,
あ… クッ…,
分かった おっ,
脱ぐ 脱ぐから…,
お願いします 家のことは 言いふらさないでください,2
ちょい待った そのセリフって,
はたから見ると すっげえ犯罪臭が…,
ハァ… ハァ…,
半裸の怪しい男が 来ませんでしたか？,
俺が一体 何をしたっていうんだ,
お前 何やってんだ？,0
うわああ！,
って なんだ お前か,0
いろいろと事情があるんだ,
事と次第によっては 助けてやらんでもないが,
お前 実は いいやつだったんだな,0
今村耕平だ で 何があったんだ？,
聞いてくれ！ 千紗のやつ 俺を家まで連れていかない上に,
服すら脱がないんだ,
警備員さーん！,
ワンモアチャンス プリーズ！,
ストーカーに強制わいせつ 話を聞く余地なんかないだろ,
それには事情が！,
なら その事情ってやつを 留置場で話すこった,
じゃあな 待った！,
話はもういい その代わり…,
着ている物を脱いでくれ,
ハァ… ハァ… ハァ…,
どこ行った？,
あの野郎！,
変態！,
とはいえ 服をなんとかしないとな,
ほかに知り合いといえば…,
ダイビングサークル “  ”でーす,
いないか…,
もう大丈夫だぞ,
フゥ… 助かりました,
で？ なんだ？,1
服を貸して もらえませんか？,
変なことを言いだすやつだな,0
このあと飲みに行くなら 二度手間だろう？,
俺が酒を飲む上に―,
服まで脱ぐことを 前提としてませんか？,
今日は 新入生歓迎コンパだぞ！,
それはいいですが とりあえず 服をなんとか…,2
じゃ 誰か新人を１人でも 引っ張ってきたら 服を貸してやる,
乗った！ ところで あてはあるのか？,1
ええ 任せてください！,2
クソッ！ どうしてだよ！,0
どうして 俺が中心の,
女子高生美少女ハーレムサークルが ないんだよ！,0
お前…,0
諦めるなよ 耕平,
諦めなければ 夢はかなう,
世の中ってのは そういうもんだろ？,
だが… 現実は冷たいんだ,
クッ！ どいつもこいつも “寝ぼけるな”だの,
“大学に女子高生がいるか”だのと,
わけの分からないことばかり…,
大学に来たら 新世界が広がって,
夢のような生活が 待っていると思ったのに…,
あるさ えっ？,
新世界も夢の生活も,
ただ お前はその入り口に 気付いていないだけなんだ,0
そう… なのか？,1
どうだ？ 一緒に 夢の入り口に踏み込んでみないか？,
あ…,
ウエールカーム！,
謀ったな！ 貴様！,
フゥ… 服は人類の 英知のひとつだなあ,0
さあ 新歓コンパを始めるぞ！,
おお！,
伊織！ 何飲む？,
ウーロン茶でお願いします,2
よし 分かった,
ほい ウーロン茶,
これは 俺の知ってる ウーロン茶じゃない！,
何を言う,
ウーロン茶の色がついているだろ,
しかも 色だけじゃなく―,
火もつくんだぞ,
火がつく時点で 大部分がアルコールだ！,
なら 水でどうだ,
どうして火がつくんですかね,2
可燃性なんだろ,1
色は水だから 気にするな,
あなた方は 色でしか 飲み物を判別できないんですか！,2
それじゃ いくぞ！,
杯を乾すと書いて！,
乾杯と読む！,
乾杯！,
うう…,
おっ 千紗 来てたのか,1
あ…,
お父さんが行けって,
このサークル 入るのか？,1
不本意ながら 伊織は？,
俺は 御免被る,
ふうん… 逃げきれるの？,
は？,
ヒャア！ アアッ！,
ワッショイ…,
こら 伊織 きちんと乾杯をしないとダメだぞ,
待って イヤ… イヤー！,
バーカ,
杯を乾すと書いて！,
乾杯！,
うおおお！,
くああ！ 濃いなあ,
水も飲まないと倒れるぞ,
ああ どうも,
ハァ…,
ウォッカー！,
いい飲みっぷりだな 北原伊織,0
耕平！ これは復讐のつもりか？,
